client_id,last_booking_date,churned,churn_date
C0070,2024-11-07,Yes,2025-02-05
C0071,2025-08-29,Yes,2025-11-27
C0072,2022-02-14,Yes,2022-05-15
C0073,2024-09-17,Yes,2024-12-16
C0074,2025-10-15,No,
C0075,2022-08-20,Yes,2022-11-18
C0076,2025-08-04,Yes,2025-11-02
C0077,2025-07-19,Yes,2025-10-17
C0078,2025-05-18,Yes,2025-08-16
C0079,2025-11-18,No,
C0080,2023-09-10,Yes,2023-12-09
C0081,2024-03-16,Yes,2024-06-14
C0082,2024-03-16,Yes,2024-06-14
C0083,2025-01-24,Yes,2025-04-24
C0084,2024-07-12,Yes,2024-10-10
C0085,2025-12-27,No,
C0086,2025-07-18,Yes,2025-10-16
C0087,2023-09-26,Yes,2023-12-25
C0088,2022-11-21,Yes,2023-02-19
C0089,2022-11-08,Yes,2023-02-06
C0090,2025-05-29,Yes,2025-08-27
C0091,2025-12-19,No,
C0092,2024-02-09,Yes,2024-05-09
C0093,2024-03-13,Yes,2024-06-11
C0094,2023-09-12,Yes,2023-12-11
C0095,2023-12-23,Yes,2024-03-22
C0096,2025-08-04,Yes,2025-11-02
C0097,2025-09-01,Yes,2025-11-30
C0098,2024-10-10,Yes,2025-01-08
C0099,2024-12-09,Yes,2025-03-09
C0100,2025-04-16,Yes,2025-07-15
C0101,2025-11-09,No,
C0102,2022-07-05,Yes,2022-10-03
C0103,2025-11-04,No,
C0104,2024-03-31,Yes,2024-06-29
C0105,2022-09-22,Yes,2022-12-21
C0106,2025-11-23,No,
C0107,2025-08-16,Yes,2025-11-14
C0108,2025-09-03,Yes,2025-12-02
C0109,2023-12-21,Yes,2024-03-20
C0110,2025-10-23,No,
C0111,2025-12-08,No,
C0112,2025-11-21,No,
C0113,2025-07-23,Yes,2025-10-21
C0114,2023-01-19,Yes,2023-04-19
C0115,2025-08-30,Yes,2025-11-28
C0116,2023-10-18,Yes,2024-01-16
C0117,2022-03-07,Yes,2022-06-05
C0118,2024-06-14,Yes,2024-09-12
C0119,2023-03-05,Yes,2023-06-03
C0120,2025-02-13,Yes,2025-05-14
C0121,2025-08-01,Yes,2025-10-30
C0122,2021-05-25,Yes,2021-08-23
C0123,2025-01-01,Yes,2025-04-01
C0124,2025-10-02,Yes,2025-12-31
C0125,2024-05-12,Yes,2024-08-10
C0126,2025-07-15,Yes,2025-10-13
C0127,2025-11-27,No,
C0128,2025-07-12,Yes,2025-10-10
C0129,2025-10-04,Yes,2026-01-02
C0130,2025-08-28,Yes,2025-11-26
C0131,2023-08-04,Yes,2023-11-02
C0132,2024-01-26,Yes,2024-04-25
C0133,2025-11-30,No,
C0134,2024-08-15,Yes,2024-11-13
C0135,2024-04-30,Yes,2024-07-29
C0136,2025-09-06,Yes,2025-12-05
C0137,2024-04-15,Yes,2024-07-14
C0138,2023-12-23,Yes,2024-03-22
C0139,2023-03-07,Yes,2023-06-05
C0140,2023-01-27,Yes,2023-04-27
C0141,2022-02-27,Yes,2022-05-28
C0142,2025-02-15,Yes,2025-05-16
C0143,2025-07-04,Yes,2025-10-02
C0144,2025-12-22,No,
C0145,2025-11-16,No,
C0146,2024-01-25,Yes,2024-04-24
C0147,2024-12-10,Yes,2025-03-10
C0148,2022-01-25,Yes,2022-04-25
C0149,2025-11-03,No,
C0150,2022-10-06,Yes,2023-01-04
C0151,2022-02-02,Yes,2022-05-03
C0152,2022-06-23,Yes,2022-09-21
C0153,2025-07-11,Yes,2025-10-09
C0154,2025-07-27,Yes,2025-10-25
C0155,2022-05-01,Yes,2022-07-30
C0156,2025-11-28,No,
C0157,2023-04-03,Yes,2023-07-02
C0158,2022-12-24,Yes,2023-03-24
C0159,2024-02-14,Yes,2024-05-14
C0160,2025-09-12,Yes,2025-12-11
C0161,2025-04-23,Yes,2025-07-22
C0162,2025-09-17,Yes,2025-12-16
C0163,2023-02-14,Yes,2023-05-15
C0164,2025-10-07,Yes,2026-01-05
C0165,2024-05-07,Yes,2024-08-05
C0166,2024-09-19,Yes,2024-12-18
C0167,2023-09-29,Yes,2023-12-28
C0168,2023-05-21,Yes,2023-08-19
C0169,2024-04-10,Yes,2024-07-09
C0170,2025-08-03,Yes,2025-11-01
C0171,2024-02-09,Yes,2024-05-09
C0172,2025-11-06,No,
C0173,2025-08-20,Yes,2025-11-18
C0174,2023-01-19,Yes,2023-04-19
C0175,2023-07-30,Yes,2023-10-28
C0176,2025-07-29,Yes,2025-10-27
C0177,2025-09-01,Yes,2025-11-30
C0178,2025-12-22,No,
C0179,2023-05-19,Yes,2023-08-17
C0180,2023-08-11,Yes,2023-11-09
C0181,2025-11-16,No,
C0182,2025-11-09,No,
C0183,2023-09-28,Yes,2023-12-27
C0184,2025-09-11,Yes,2025-12-10
C0185,2024-12-05,Yes,2025-03-05
C0186,2025-09-09,Yes,2025-12-08
C0187,2025-06-15,Yes,2025-09-13
C0188,2023-12-26,Yes,2024-03-25
C0189,2025-07-02,Yes,2025-09-30
C0190,2025-12-11,No,
C0191,2024-11-10,Yes,2025-02-08
C0192,2022-01-12,Yes,2022-04-12
C0193,2023-01-12,Yes,2023-04-12
C0194,2024-12-05,Yes,2025-03-05
C0195,2024-09-15,Yes,2024-12-14
C0196,2024-05-23,Yes,2024-08-21
C0197,2024-12-07,Yes,2025-03-07
C0198,2021-07-02,Yes,2021-09-30
C0199,2025-07-10,Yes,2025-10-08
C0200,2021-10-18,Yes,2022-01-16
C0201,2024-02-24,Yes,2024-05-24
C0202,2025-11-17,No,
C0203,2025-11-29,No,
C0204,2024-03-24,Yes,2024-06-22
C0205,2025-08-16,Yes,2025-11-14
C0206,2023-07-08,Yes,2023-10-06
C0207,2025-10-18,No,
C0208,2025-10-01,Yes,2025-12-30
C0209,2023-10-23,Yes,2024-01-21
C0210,2025-03-08,Yes,2025-06-06
C0211,2024-09-18,Yes,2024-12-17
C0212,2024-09-15,Yes,2024-12-14
C0213,2023-02-27,Yes,2023-05-28
C0214,2024-10-30,Yes,2025-01-28
C0215,2023-02-10,Yes,2023-05-11
C0216,2025-10-20,No,
C0217,2025-10-16,No,
C0218,2025-11-07,No,
C0219,2023-04-11,Yes,2023-07-10
C0220,2024-12-04,Yes,2025-03-04
C0221,2022-10-27,Yes,2023-01-25
C0222,2022-10-12,Yes,2023-01-10
C0223,2024-06-15,Yes,2024-09-13
C0224,2025-12-17,No,
C0225,2025-07-01,Yes,2025-09-29
C0226,2025-12-12,No,
C0227,2023-03-05,Yes,2023-06-03
C0228,2023-08-22,Yes,2023-11-20
C0229,2025-02-06,Yes,2025-05-07
C0230,2025-11-29,No,
C0231,2024-08-20,Yes,2024-11-18
C0232,2022-12-07,Yes,2023-03-07
C0233,2024-06-07,Yes,2024-09-05
C0234,2025-09-06,Yes,2025-12-05
C0235,2025-04-18,Yes,2025-07-17
C0236,2025-10-30,No,
C0237,2025-11-27,No,
C0238,2023-04-09,Yes,2023-07-08
C0239,2024-12-15,Yes,2025-03-15
C0240,2025-08-13,Yes,2025-11-11
C0241,2021-09-05,Yes,2021-12-04
C0242,2025-06-12,Yes,2025-09-10
C0243,2021-07-31,Yes,2021-10-29
C0244,2025-12-07,No,
C0245,2025-11-05,No,
C0246,2024-02-01,Yes,2024-05-01
C0247,2025-07-27,Yes,2025-10-25
C0248,2025-03-16,Yes,2025-06-14
C0249,2025-01-26,Yes,2025-04-26
C0250,2022-05-02,Yes,2022-07-31
C0251,2021-12-19,Yes,2022-03-19
C0252,2024-07-24,Yes,2024-10-22
C0253,2024-12-24,Yes,2025-03-24
C0254,2022-12-11,Yes,2023-03-11
C0255,2022-12-21,Yes,2023-03-21
C0256,2025-06-30,Yes,2025-09-28
C0257,2021-08-23,Yes,2021-11-21
C0258,2022-08-18,Yes,2022-11-16
C0259,2025-03-09,Yes,2025-06-07
C0260,2025-11-28,No,
C0261,2024-11-12,Yes,2025-02-10
C0262,2025-04-15,Yes,2025-07-14
C0263,2023-09-10,Yes,2023-12-09
C0264,2025-06-20,Yes,2025-09-18
C0265,2022-12-10,Yes,2023-03-10
C0266,2022-03-17,Yes,2022-06-15
C0267,2022-01-26,Yes,2022-04-26
C0268,2022-07-31,Yes,2022-10-29
C0269,2025-11-19,No,
C0270,2025-12-11,No,
C0271,2025-04-23,Yes,2025-07-22
C0272,2025-09-29,Yes,2025-12-28
C0273,2023-09-10,Yes,2023-12-09
C0274,2022-10-22,Yes,2023-01-20
C0275,2025-06-14,Yes,2025-09-12
C0276,2023-08-13,Yes,2023-11-11
C0277,2025-10-20,No,
C0278,2025-06-22,Yes,2025-09-20
C0279,2024-05-24,Yes,2024-08-22
C0280,2025-07-20,Yes,2025-10-18
C0281,2022-03-16,Yes,2022-06-14
C0282,2024-02-25,Yes,2024-05-25
C0283,2025-11-21,No,
C0284,2023-02-17,Yes,2023-05-18
C0285,2024-09-16,Yes,2024-12-15
C0286,2022-07-02,Yes,2022-09-30
C0287,2025-07-16,Yes,2025-10-14
C0288,2024-08-23,Yes,2024-11-21
C0289,2025-12-24,No,
C0290,2024-10-29,Yes,2025-01-27
C0291,2025-03-27,Yes,2025-06-25
C0292,2025-11-14,No,
C0293,2025-09-20,Yes,2025-12-19
C0294,2025-11-11,No,
C0295,2025-11-12,No,
C0296,2023-07-08,Yes,2023-10-06
C0297,2025-11-26,No,
C0298,2023-12-25,Yes,2024-03-24
C0299,2025-12-10,No,
C0300,2025-11-30,No,
C0301,2023-08-12,Yes,2023-11-10
C0302,2025-08-08,Yes,2025-11-06
C0303,2025-08-07,Yes,2025-11-05
C0304,2025-07-23,Yes,2025-10-21
C0305,2025-09-19,Yes,2025-12-18
C0306,2024-08-08,Yes,2024-11-06
C0307,2025-08-13,Yes,2025-11-11
C0308,2025-12-18,No,
C0309,2021-11-25,Yes,2022-02-23
C0310,2025-11-24,No,
C0311,2025-09-12,Yes,2025-12-11
C0312,2023-01-16,Yes,2023-04-16
C0313,2025-10-13,Yes,2026-01-11
C0314,2025-01-12,Yes,2025-04-12
C0315,2024-01-27,Yes,2024-04-26
C0316,2022-04-30,Yes,2022-07-29
C0317,2024-07-16,Yes,2024-10-14
C0318,2023-07-23,Yes,2023-10-21
C0319,2025-11-06,No,
C0320,2023-11-03,Yes,2024-02-01
C0321,2024-01-09,Yes,2024-04-08
C0322,2025-05-02,Yes,2025-07-31
C0323,2025-06-11,Yes,2025-09-09
C0324,2023-05-20,Yes,2023-08-18
C0325,2022-06-22,Yes,2022-09-20
C0326,2025-09-05,Yes,2025-12-04
C0327,2023-12-02,Yes,2024-03-01
C0328,2024-03-30,Yes,2024-06-28
C0329,2025-01-17,Yes,2025-04-17
C0330,2025-01-02,Yes,2025-04-02
C0331,2025-12-09,No,
C0332,2024-07-18,Yes,2024-10-16
C0333,2021-12-26,Yes,2022-03-26
C0334,2025-10-08,Yes,2026-01-06
C0335,2025-11-09,No,
C0336,2025-11-16,No,
C0337,2022-07-25,Yes,2022-10-23
C0338,2022-06-30,Yes,2022-09-28
C0339,2025-07-29,Yes,2025-10-27
C0340,2025-01-20,Yes,2025-04-20
C0341,2022-12-10,Yes,2023-03-10
C0342,2025-08-12,Yes,2025-11-10
C0343,2025-11-22,No,
C0344,2022-11-16,Yes,2023-02-14
C0345,2024-11-15,Yes,2025-02-13
C0346,2025-04-03,Yes,2025-07-02
C0347,2025-08-07,Yes,2025-11-05
C0348,2025-11-17,No,
C0349,2022-07-05,Yes,2022-10-03
C0350,2023-08-20,Yes,2023-11-18
C0351,2025-08-10,Yes,2025-11-08
C0352,2025-08-08,Yes,2025-11-06
C0353,2024-11-14,Yes,2025-02-12
C0354,2022-04-11,Yes,2022-07-10
C0355,2025-12-02,No,
C0356,2025-01-17,Yes,2025-04-17
C0357,2025-12-11,No,
C0358,2025-08-31,Yes,2025-11-29
C0359,2022-10-25,Yes,2023-01-23
C0360,2025-09-26,Yes,2025-12-25
C0361,2024-11-13,Yes,2025-02-11
C0362,2025-02-18,Yes,2025-05-19
C0363,2022-06-18,Yes,2022-09-16
C0364,2025-07-11,Yes,2025-10-09
C0365,2021-08-17,Yes,2021-11-15
C0366,2022-10-16,Yes,2023-01-14
C0367,2023-01-25,Yes,2023-04-25
C0368,2022-07-14,Yes,2022-10-12
C0369,2025-12-11,No,
C0370,2022-09-17,Yes,2022-12-16
C0371,2022-10-01,Yes,2022-12-30
C0372,2023-09-22,Yes,2023-12-21
C0373,2025-10-17,No,
C0374,2023-02-06,Yes,2023-05-07
C0375,2025-02-27,Yes,2025-05-28
C0376,2025-07-30,Yes,2025-10-28
C0377,2023-08-11,Yes,2023-11-09
C0378,2024-03-20,Yes,2024-06-18
C0379,2025-09-25,Yes,2025-12-24
C0380,2025-02-09,Yes,2025-05-10
C0381,2024-08-28,Yes,2024-11-26
C0382,2025-09-09,Yes,2025-12-08
C0383,2022-11-17,Yes,2023-02-15
C0384,2024-01-18,Yes,2024-04-17
C0385,2022-04-30,Yes,2022-07-29
C0386,2025-09-08,Yes,2025-12-07
C0387,2024-02-19,Yes,2024-05-19
C0388,2025-10-24,No,
C0389,2025-09-27,Yes,2025-12-26
C0390,2025-10-02,Yes,2025-12-31
C0391,2023-10-24,Yes,2024-01-22
C0392,2022-05-24,Yes,2022-08-22
C0393,2023-03-27,Yes,2023-06-25
C0394,2025-08-06,Yes,2025-11-04
C0395,2025-08-08,Yes,2025-11-06
C0396,2022-02-27,Yes,2022-05-28
C0397,2025-02-15,Yes,2025-05-16
C0398,2025-12-01,No,
C0399,2024-02-18,Yes,2024-05-18
C0400,2024-09-18,Yes,2024-12-17
C0401,2023-10-18,Yes,2024-01-16
C0402,2024-02-24,Yes,2024-05-24
C0403,2024-03-10,Yes,2024-06-08
C0404,2025-11-27,No,
C0405,2023-02-23,Yes,2023-05-24
C0406,2022-11-03,Yes,2023-02-01
C0407,2025-12-05,No,
C0408,2025-12-05,No,
C0409,2023-11-02,Yes,2024-01-31
C0410,2024-03-03,Yes,2024-06-01
C0411,2024-01-23,Yes,2024-04-22
C0412,2021-05-28,Yes,2021-08-26
C0413,2025-05-25,Yes,2025-08-23
C0414,2024-09-09,Yes,2024-12-08
C0415,2025-05-17,Yes,2025-08-15
C0416,2024-02-19,Yes,2024-05-19
C0417,2024-07-09,Yes,2024-10-07
C0418,2025-11-30,No,
C0419,2021-07-31,Yes,2021-10-29
C0420,2023-03-19,Yes,2023-06-17
C0421,2025-09-21,Yes,2025-12-20
C0422,2025-02-28,Yes,2025-05-29
C0423,2023-08-07,Yes,2023-11-05
C0424,2025-07-06,Yes,2025-10-04
C0425,2025-07-27,Yes,2025-10-25
C0426,2022-04-21,Yes,2022-07-20
C0427,2025-09-15,Yes,2025-12-14
C0428,2024-09-06,Yes,2024-12-05
C0429,2024-09-20,Yes,2024-12-19
C0430,2024-03-07,Yes,2024-06-05
C0431,2025-11-09,No,
C0432,2024-05-14,Yes,2024-08-12
C0433,2024-04-29,Yes,2024-07-28
C0434,2025-06-20,Yes,2025-09-18
C0435,2023-07-20,Yes,2023-10-18
C0436,2025-10-28,No,
C0437,2024-01-01,Yes,2024-03-31
C0438,2023-11-01,Yes,2024-01-30
C0439,2025-09-16,Yes,2025-12-15
C0440,2023-11-23,Yes,2024-02-21
C0441,2025-12-28,No,
C0442,2024-10-11,Yes,2025-01-09
C0443,2024-02-21,Yes,2024-05-21
C0444,2024-06-18,Yes,2024-09-16
C0445,2025-09-06,Yes,2025-12-05
C0446,2023-11-26,Yes,2024-02-24
C0447,2025-04-04,Yes,2025-07-03
C0448,2024-07-03,Yes,2024-10-01
C0449,2025-11-23,No,
C0450,2025-08-18,Yes,2025-11-16
C0451,2025-11-30,No,
C0452,2023-01-06,Yes,2023-04-06
C0453,2024-10-29,Yes,2025-01-27
C0454,2025-11-17,No,
C0455,2025-11-25,No,
C0456,2025-06-27,Yes,2025-09-25
C0457,2023-05-02,Yes,2023-07-31
C0458,2025-09-22,Yes,2025-12-21
C0459,2024-02-13,Yes,2024-05-13
C0460,2023-03-05,Yes,2023-06-03
C0461,2025-09-05,Yes,2025-12-04
C0462,2024-02-10,Yes,2024-05-10
C0463,2023-07-28,Yes,2023-10-26
C0464,2025-08-02,Yes,2025-10-31
C0465,2023-10-16,Yes,2024-01-14
C0466,2025-12-01,No,
C0467,2025-10-20,No,
C0468,2024-07-24,Yes,2024-10-22
C0469,2025-05-26,Yes,2025-08-24
C0470,2024-04-15,Yes,2024-07-14
C0471,2025-10-28,No,
C0472,2025-11-25,No,
C0473,2025-02-05,Yes,2025-05-06
C0474,2024-09-04,Yes,2024-12-03
C0475,2022-09-06,Yes,2022-12-05
C0476,2024-11-23,Yes,2025-02-21
C0477,2024-07-04,Yes,2024-10-02
C0478,2024-12-11,Yes,2025-03-11
C0479,2021-07-28,Yes,2021-10-26
C0480,2025-10-05,Yes,2026-01-03
C0481,2023-04-13,Yes,2023-07-12
C0482,2022-11-02,Yes,2023-01-31
C0483,2025-02-07,Yes,2025-05-08
C0484,2025-04-13,Yes,2025-07-12
C0485,2025-09-06,Yes,2025-12-05
C0486,2023-03-25,Yes,2023-06-23
C0487,2025-09-15,Yes,2025-12-14
C0488,2025-08-30,Yes,2025-11-28
C0489,2025-08-05,Yes,2025-11-03
C0490,2022-05-10,Yes,2022-08-08
C0491,2024-02-10,Yes,2024-05-10
C0492,2025-07-11,Yes,2025-10-09
C0493,2023-10-30,Yes,2024-01-28
C0494,2025-11-08,No,
C0495,2025-09-09,Yes,2025-12-08
C0496,2025-07-06,Yes,2025-10-04
C0497,2025-07-26,Yes,2025-10-24
C0498,2023-04-10,Yes,2023-07-09
C0499,2025-04-02,Yes,2025-07-01
C0500,2024-10-16,Yes,2025-01-14
