booking_id,client_id,booking_date,course_name,course_category,number_of_participants,revenue,payment_date,payment_status
B00031,C0004,2024-10-24,ISO 9001 Quality Management,Compliance & Quality,6,44604,2024-11-07,Paid
B00032,C0004,2024-12-13,Problem Solving,Personal Development,2,6544,2024-12-25,Paid
B00033,C0004,2025-01-10,Executive Assistant Excellence,Administration,6,37290,2025-02-06,Overdue
B00034,C0004,2025-02-13,PMP Certification Prep,Project Management,2,20792,2025-03-12,Overdue
B00035,C0005,2022-11-08,Talent Acquisition,Human Resources,13,110045,2022-11-22,Paid
B00036,C0005,2022-12-27,Data Literacy for Leaders,AI & Technology,5,34125,2023-01-03,Paid
B00037,C0005,2023-01-26,AI for Business Leaders,AI & Technology,9,83088,2023-02-10,Paid
B00038,C0005,2023-03-22,Email Writing Mastery,Communication Skills,7,25025,2023-04-02,Paid
B00039,C0005,2023-04-28,Office Management,Administration,10,42110,2023-05-18,Paid
B00040,C0005,2023-06-09,Budgeting & Forecasting,Finance & Accounting,8,84848,2023-06-17,Paid
B00041,C0005,2023-08-02,Risk & Compliance,Compliance & Quality,5,45550,2023-08-30,Overdue
B00042,C0005,2023-09-17,Internal Control Systems,Compliance & Quality,5,57730,2023-10-17,Overdue
B00043,C0005,2023-10-31,Employee Relations,Human Resources,7,51793,2023-11-28,Overdue
B00044,C0005,2023-11-29,Executive Assistant Excellence,Administration,7,27013,2023-12-22,Overdue
B00045,C0005,2023-12-31,AI for Business Leaders,AI & Technology,15,146835,2024-01-27,Pending
B00046,C0006,2021-02-25,Generative AI Essentials,AI & Technology,16,103776,2021-03-06,Paid
B00047,C0006,2021-03-23,Business Writing,Administration,14,62594,2021-04-21,Pending
B00048,C0006,2021-04-27,Problem Solving,Personal Development,15,54825,2021-04-29,Paid
B00049,C0006,2021-05-28,Data Literacy for Leaders,AI & Technology,13,88478,2021-06-07,Paid
B00050,C0006,2021-07-18,Risk Management,Project Management,10,121290,2021-07-28,Paid
B00051,C0006,2021-08-28,Customer Service Excellence,Customer Service,23,82915,2021-09-11,Paid
B00052,C0006,2021-09-29,Virtual Team Building,Team Building,18,70704,2021-10-23,Pending
B00053,C0006,2021-11-04,PMP Certification Prep,Project Management,14,113204,2021-11-04,Paid
B00054,C0006,2021-12-13,Leadership Team Offsite,Team Building,18,99144,2021-12-31,Paid
B00055,C0006,2022-01-08,Emotional Intelligence,Personal Development,17,78625,2022-01-15,Paid
B00056,C0006,2022-02-05,Employee Relations,Human Resources,10,63500,2022-02-07,Paid
B00057,C0006,2022-03-19,Business Writing,Administration,25,86025,2022-04-04,Paid
B00058,C0006,2022-04-14,Time Management,Personal Development,25,125700,2022-05-04,Paid
B00059,C0006,2022-05-24,Negotiation Skills,Communication Skills,15,89115,2022-06-05,Paid
B00060,C0007,2024-06-14,Talent Acquisition,Human Resources,21,111909,2024-06-19,Paid
B00061,C0007,2024-07-19,Service Quality Management,Customer Service,34,144670,2024-08-10,Overdue
B00062,C0007,2024-08-24,Sales Fundamentals,Sales & Marketing,22,126236,2024-09-05,Paid
B00063,C0007,2024-09-30,Innovation Workshop,Team Building,16,88256,2024-10-23,Overdue
B00064,C0007,2024-10-31,Team Building Workshop,Team Building,25,119275,2024-11-19,Paid
B00065,C0007,2024-12-13,Virtual Team Building,Team Building,33,180411,2024-12-30,Paid
B00066,C0007,2025-02-05,AI for Business Leaders,AI & Technology,35,364945,2025-03-02,Pending
B00067,C0007,2025-03-07,AI for Business Leaders,AI & Technology,18,156042,2025-03-21,Paid
B00068,C0007,2025-05-05,Internal Control Systems,Compliance & Quality,16,122560,2025-05-21,Paid
B00069,C0007,2025-06-12,Generative AI Essentials,AI & Technology,27,287361,2025-06-13,Paid
B00070,C0007,2025-08-11,Data Literacy for Leaders,AI & Technology,27,246186,2025-09-04,Pending
B00071,C0007,2025-09-23,Talent Acquisition,Human Resources,24,159120,2025-10-05,Paid
B00072,C0007,2025-10-30,Budgeting & Forecasting,Finance & Accounting,24,209688,2025-11-04,Paid
B00073,C0007,2025-12-22,Complaint Handling,Customer Service,24,112416,2026-01-20,Pending
B00074,C0008,2022-02-02,Performance Management,Leadership & Management,13,93613,2022-02-26,Pending
B00075,C0008,2022-03-22,Email Writing Mastery,Communication Skills,23,94300,2022-04-05,Paid
B00076,C0009,2022-10-08,Sales Fundamentals,Sales & Marketing,12,61440,2022-10-18,Paid
B00077,C0009,2022-12-01,Business Writing,Administration,15,82125,2022-12-24,Pending
B00078,C0009,2023-02-03,Performance Management,Leadership & Management,13,118014,2023-02-23,Paid
B00079,C0009,2023-04-02,Negotiation Skills,Communication Skills,12,57576,2023-04-24,Overdue
B00080,C0009,2023-06-05,Team Building Workshop,Team Building,15,70770,2023-06-22,Paid
B00081,C0009,2023-07-17,Conflict Resolution,Communication Skills,11,62139,2023-07-22,Paid
B00082,C0010,2022-09-04,Innovation Workshop,Team Building,2,11436,2022-09-13,Paid
B00083,C0010,2022-12-15,Budgeting & Forecasting,Finance & Accounting,9,79785,2023-01-04,Paid
B00084,C0010,2023-04-02,HR Management Essentials,Human Resources,3,29040,2023-04-06,Paid
B00085,C0010,2023-06-26,Talent Acquisition,Human Resources,2,17100,2023-07-20,Overdue
B00086,C0010,2023-09-20,Leadership Excellence Program,Leadership & Management,9,99684,2023-10-17,Overdue
B00087,C0010,2024-01-06,Generative AI Essentials,AI & Technology,2,22960,2024-02-03,Overdue
B00088,C0010,2024-03-31,Compensation & Benefits,Human Resources,5,42055,2024-04-21,Overdue
B00089,C0010,2024-06-25,Sales Fundamentals,Sales & Marketing,8,54472,2024-06-27,Paid
B00090,C0011,2025-01-19,Internal Control Systems,Compliance & Quality,16,100640,2025-01-24,Paid
B00091,C0011,2025-03-01,Risk Management,Project Management,11,124828,2025-03-12,Paid
B00092,C0011,2025-05-02,Team Management Essentials,Leadership & Management,14,86450,2025-05-23,Overdue
B00093,C0011,2025-06-22,Business Communication,Communication Skills,12,37740,2025-06-25,Paid
B00094,C0011,2025-08-03,Customer Service Excellence,Customer Service,15,46665,2025-08-24,Overdue
B00095,C0011,2025-09-25,Emotional Intelligence,Personal Development,15,62025,2025-10-18,Overdue
B00096,C0011,2025-11-18,Team Management Essentials,Leadership & Management,12,96396,2025-11-28,Paid
B00097,C0012,2022-02-18,Complaint Handling,Customer Service,32,88800,2022-02-27,Paid
B00098,C0012,2022-06-26,Digital Marketing,Sales & Marketing,19,88806,2022-07-18,Overdue
B00099,C0012,2022-10-08,Business Communication,Communication Skills,31,136834,2022-10-24,Paid
B00100,C0012,2023-02-11,Performance Appraisal,Human Resources,21,151830,2023-02-12,Paid
B00101,C0013,2021-01-14,Digital Marketing,Sales & Marketing,14,105014,2021-02-08,Overdue
B00102,C0013,2021-04-25,Complaint Handling,Customer Service,14,51114,2021-05-03,Paid
B00103,C0013,2021-07-31,AI for Business Leaders,AI & Technology,14,138096,2021-08-11,Paid
B00104,C0013,2021-10-22,Project Planning & Execution,Project Management,14,150038,2021-11-06,Paid
B00105,C0014,2021-09-03,ISO 9001 Quality Management,Compliance & Quality,13,96109,2021-09-28,Overdue
B00106,C0014,2021-10-26,Customer Service Excellence,Customer Service,11,40821,2021-11-06,Paid
B00107,C0014,2021-12-18,Data Literacy for Leaders,AI & Technology,16,89648,2022-01-07,Paid
B00108,C0014,2022-02-19,Talent Acquisition,Human Resources,19,113715,2022-03-16,Pending
B00109,C0014,2022-04-03,Budgeting & Forecasting,Finance & Accounting,19,171988,2022-04-20,Paid
B00110,C0014,2022-06-08,Internal Audit,Finance & Accounting,10,63170,2022-06-29,Overdue
B00111,C0014,2022-08-04,Business Communication,Communication Skills,22,120912,2022-08-22,Paid
B00112,C0014,2022-09-18,Emotional Intelligence,Personal Development,10,31610,2022-09-24,Paid
B00113,C0014,2022-11-17,Business Communication,Communication Skills,20,106300,2022-12-02,Paid
B00114,C0014,2023-01-03,Digital Marketing,Sales & Marketing,11,71467,2023-01-07,Paid
B00115,C0014,2023-02-16,Digital Marketing,Sales & Marketing,14,90062,2023-03-02,Paid
B00116,C0014,2023-03-26,Generative AI Essentials,AI & Technology,20,174880,2023-04-20,Overdue
B00117,C0014,2023-05-06,Virtual Team Building,Team Building,11,69377,2023-05-22,Paid
B00118,C0014,2023-06-13,Budgeting & Forecasting,Finance & Accounting,20,185100,2023-06-13,Paid
B00119,C0014,2023-08-04,Performance Appraisal,Human Resources,20,157640,2023-09-02,Overdue
B00120,C0014,2023-10-01,Change Management,Leadership & Management,14,110628,2023-10-27,Pending
B00121,C0015,2025-08-16,Digital Transformation,AI & Technology,14,115318,2025-08-21,Paid
B00122,C0015,2025-09-29,Time Management,Personal Development,6,25572,2025-10-21,Overdue
B00123,C0015,2025-11-21,Advanced Excel,Administration,5,23060,2025-12-04,Paid
B00124,C0016,2023-04-14,HR Management Essentials,Human Resources,6,45192,2023-05-09,Pending
B00125,C0016,2023-05-25,Innovation Workshop,Team Building,8,61928,2023-05-27,Paid
B00126,C0016,2023-07-08,Service Quality Management,Customer Service,13,34268,2023-08-02,Overdue
B00127,C0016,2023-09-02,Key Account Management,Sales & Marketing,7,40453,2023-09-12,Paid
B00128,C0016,2023-11-01,Digital Marketing,Sales & Marketing,13,69290,2023-11-25,Overdue
B00129,C0016,2023-12-10,Risk Management,Project Management,6,88404,2024-01-09,Pending
B00130,C0016,2024-01-15,Performance Appraisal,Human Resources,5,39405,2024-01-27,Paid
B00131,C0016,2024-03-01,Advanced Excel,Administration,13,43901,2024-03-01,Paid
B00132,C0016,2024-04-09,Budgeting & Forecasting,Finance & Accounting,5,36065,2024-04-19,Paid
B00133,C0017,2022-03-08,Talent Acquisition,Human Resources,16,97552,2022-03-16,Paid
B00134,C0017,2022-04-23,Generative AI Essentials,AI & Technology,20,218100,2022-05-07,Paid
B00135,C0017,2022-06-21,Executive Assistant Excellence,Administration,13,50999,2022-06-25,Paid
B00136,C0017,2022-08-27,Prince2 Foundation,Project Management,18,136728,2022-08-27,Paid
B00137,C0017,2022-10-30,Emotional Intelligence,Personal Development,13,42497,2022-11-16,Paid
B00138,C0017,2023-01-04,Presentation Skills,Communication Skills,20,78360,2023-01-08,Paid
B00139,C0017,2023-02-25,Advanced Excel,Administration,19,94487,2023-03-04,Paid
B00140,C0017,2023-04-09,Prince2 Foundation,Project Management,12,107604,2023-04-28,Paid
B00141,C0017,2023-06-09,Business Communication,Communication Skills,24,75600,2023-06-13,Paid
B00142,C0017,2023-08-15,Strategic Leadership,Leadership & Management,25,157525,2023-08-18,Paid
B00143,C0017,2023-10-06,Conflict Resolution,Communication Skills,11,36014,2023-10-19,Paid
B00144,C0017,2023-12-08,Email Writing Mastery,Communication Skills,15,81420,2023-12-27,Paid
B00145,C0017,2024-02-17,Prompt Engineering for Professionals,AI & Technology,24,235560,2024-02-28,Paid
B00146,C0017,2024-04-06,Budgeting & Forecasting,Finance & Accounting,20,138080,2024-04-28,Pending
B00147,C0017,2024-05-29,Leadership Team Offsite,Team Building,24,129024,2024-06-02,Paid
B00148,C0018,2022-11-04,Innovation Workshop,Team Building,9,53343,2022-11-11,Paid
B00149,C0018,2023-01-15,Employee Relations,Human Resources,4,38108,2023-02-12,Overdue
B00150,C0018,2023-04-08,Negotiation Skills,Communication Skills,8,34008,2023-04-30,Overdue
B00151,C0018,2023-06-25,ISO 9001 Quality Management,Compliance & Quality,7,74991,2023-07-10,Paid
B00152,C0018,2023-09-23,Strategic Leadership,Leadership & Management,3,32679,2023-09-26,Paid
B00153,C0018,2023-12-21,Presentation Skills,Communication Skills,9,48501,2024-01-17,Pending
B00154,C0018,2024-03-21,Financial Analysis,Finance & Accounting,7,52801,2024-04-06,Paid
B00155,C0019,2023-01-25,ISO 9001 Quality Management,Compliance & Quality,9,102276,2023-02-08,Paid
B00156,C0019,2023-04-10,Email Writing Mastery,Communication Skills,14,61796,2023-04-17,Paid
B00157,C0019,2023-06-02,Emotional Intelligence,Personal Development,8,41952,2023-06-07,Paid
B00158,C0019,2023-08-01,Digital Marketing,Sales & Marketing,11,49269,2023-08-11,Paid
B00159,C0019,2023-10-07,Performance Appraisal,Human Resources,14,92400,2023-11-01,Overdue
B00160,C0019,2023-12-16,Digital Transformation,AI & Technology,10,93160,2024-01-07,Pending
B00161,C0019,2024-02-06,HR Management Essentials,Human Resources,15,111450,2024-02-08,Paid
B00162,C0020,2024-11-18,Data Literacy for Leaders,AI & Technology,3,30441,2024-11-23,Paid
B00163,C0020,2025-01-27,Budgeting & Forecasting,Finance & Accounting,8,56560,2025-02-15,Paid
B00164,C0020,2025-03-27,PMP Certification Prep,Project Management,8,85456,2025-04-11,Paid
B00165,C0020,2025-05-13,Problem Solving,Personal Development,2,6740,2025-05-19,Paid
B00166,C0020,2025-07-14,Internal Control Systems,Compliance & Quality,4,47028,2025-08-11,Pending
B00167,C0020,2025-09-15,Leadership Team Offsite,Team Building,4,26824,2025-09-19,Paid
B00168,C0020,2025-11-12,Service Quality Management,Customer Service,10,35640,2025-11-24,Paid
B00169,C0021,2021-11-12,Complaint Handling,Customer Service,26,74360,2021-11-30,Paid
B00170,C0021,2022-01-18,Leadership Excellence Program,Leadership & Management,34,323102,2022-01-30,Paid
B00171,C0021,2022-03-26,Project Planning & Execution,Project Management,24,173616,2022-04-06,Paid
B00172,C0021,2022-06-16,Data Literacy for Leaders,AI & Technology,16,88480,2022-07-08,Overdue
B00173,C0021,2022-09-13,Agile & Scrum Fundamentals,Project Management,24,168384,2022-09-20,Paid
B00174,C0021,2022-11-23,Complaint Handling,Customer Service,33,129393,2022-12-13,Paid
B00175,C0021,2023-02-01,Internal Audit,Finance & Accounting,27,225504,2023-02-13,Paid
B00176,C0021,2023-04-21,Complaint Handling,Customer Service,32,105120,2023-05-12,Pending
B00177,C0021,2023-07-16,Digital Marketing,Sales & Marketing,19,93176,2023-08-02,Paid
B00178,C0021,2023-10-14,Conflict Resolution,Communication Skills,26,153374,2023-10-27,Paid
B00179,C0021,2024-01-04,Risk Management,Project Management,24,275160,2024-01-08,Paid
B00180,C0021,2024-03-14,Project Planning & Execution,Project Management,15,109470,2024-04-03,Paid
B00181,C0021,2024-06-12,Strategic Leadership,Leadership & Management,19,177422,2024-07-03,Overdue
B00182,C0021,2024-09-11,Project Planning & Execution,Project Management,17,131835,2024-10-01,Paid
B00183,C0021,2024-12-10,Risk & Compliance,Compliance & Quality,28,255472,2025-01-07,Overdue
B00184,C0022,2023-05-10,Compensation & Benefits,Human Resources,10,60360,2023-05-23,Paid
B00185,C0022,2023-06-15,Generative AI Essentials,AI & Technology,7,47418,2023-06-16,Paid
B00186,C0022,2023-07-18,Digital Transformation,AI & Technology,9,110466,2023-07-29,Paid
B00187,C0022,2023-08-24,Agile & Scrum Fundamentals,Project Management,9,122904,2023-08-26,Paid
B00188,C0022,2023-10-09,Risk Management,Project Management,10,120250,2023-11-02,Overdue
B00189,C0022,2023-11-12,Sales Fundamentals,Sales & Marketing,10,45220,2023-11-28,Paid
B00190,C0022,2023-12-14,Emotional Intelligence,Personal Development,3,12012,2023-12-29,Paid
B00191,C0022,2024-01-14,Critical Thinking,Personal Development,3,17403,2024-02-03,Paid
B00192,C0022,2024-02-10,Generative AI Essentials,AI & Technology,6,69132,2024-02-11,Paid
B00193,C0022,2024-03-06,Business Communication,Communication Skills,10,56840,2024-03-06,Paid
B00194,C0022,2024-04-08,Digital Marketing,Sales & Marketing,9,63891,2024-05-06,Overdue
B00195,C0022,2024-05-17,Digital Transformation,AI & Technology,7,69636,2024-05-28,Paid
B00196,C0022,2024-06-06,Risk & Compliance,Compliance & Quality,6,56214,2024-06-11,Paid
B00197,C0022,2024-07-14,Team Management Essentials,Leadership & Management,6,69702,2024-07-22,Paid
B00198,C0022,2024-08-18,Executive Leadership,Leadership & Management,9,105624,2024-08-23,Paid
B00199,C0022,2024-10-04,Digital Transformation,AI & Technology,2,23752,2024-10-13,Paid
B00200,C0022,2024-11-16,Risk & Compliance,Compliance & Quality,2,18698,2024-12-01,Paid
B00201,C0023,2025-01-06,Finance for Non-Finance,Finance & Accounting,23,129329,2025-01-29,Pending
B00202,C0023,2025-01-27,Time Management,Personal Development,20,92180,2025-02-19,Pending
B00203,C0023,2025-03-14,Executive Assistant Excellence,Administration,29,123569,2025-04-08,Pending
B00204,C0023,2025-04-27,HR Analytics,Human Resources,22,149336,2025-05-02,Paid
B00205,C0023,2025-05-24,Risk & Compliance,Compliance & Quality,31,191580,2025-06-03,Paid
B00206,C0023,2025-06-20,Performance Management,Leadership & Management,19,191824,2025-07-19,Pending
B00207,C0023,2025-07-13,Strategic Marketing,Sales & Marketing,28,194068,2025-07-25,Paid
B00208,C0023,2025-08-20,Compensation & Benefits,Human Resources,29,221183,2025-09-09,Paid
B00209,C0023,2025-09-16,Prince2 Foundation,Project Management,21,227262,2025-10-09,Overdue
B00210,C0024,2024-05-07,Digital Marketing,Sales & Marketing,6,41700,2024-05-30,Pending
B00211,C0024,2024-07-05,Conflict Resolution,Communication Skills,8,43544,2024-07-13,Paid
B00212,C0024,2024-09-04,Risk Management,Project Management,10,98260,2024-09-04,Paid
B00213,C0024,2024-10-12,Financial Analysis,Finance & Accounting,9,86661,2024-11-02,Overdue
B00214,C0024,2024-11-17,AI for Business Leaders,AI & Technology,2,14594,2024-12-16,Overdue
B00215,C0024,2024-12-27,Complaint Handling,Customer Service,6,26232,2025-01-04,Paid
B00216,C0024,2025-02-14,Finance for Non-Finance,Finance & Accounting,3,25773,2025-03-06,Paid
B00217,C0024,2025-04-02,Prompt Engineering for Professionals,AI & Technology,8,82216,2025-04-26,Pending
B00218,C0025,2022-11-28,Leadership Excellence Program,Leadership & Management,11,72930,2022-12-14,Paid
B00219,C0025,2023-02-26,PMP Certification Prep,Project Management,15,148575,2023-03-09,Paid
B00220,C0025,2023-05-21,Employee Relations,Human Resources,9,63279,2023-05-27,Paid
B00221,C0025,2023-08-24,Team Management Essentials,Leadership & Management,5,38765,2023-08-25,Paid
B00222,C0025,2023-11-28,Time Management,Personal Development,15,49560,2023-12-28,Pending
B00223,C0025,2024-02-15,Advanced Excel,Administration,6,23118,2024-03-13,Pending
B00224,C0025,2024-05-09,Conflict Resolution,Communication Skills,15,84495,2024-06-06,Pending
B00225,C0025,2024-08-08,Agile & Scrum Fundamentals,Project Management,7,70525,2024-08-17,Paid
B00226,C0025,2024-10-21,Sales Fundamentals,Sales & Marketing,15,112620,2024-10-23,Paid
B00227,C0025,2025-01-24,Critical Thinking,Personal Development,12,42144,2025-02-17,Overdue
B00228,C0025,2025-04-08,Business Writing,Administration,15,61500,2025-04-16,Paid
B00229,C0025,2025-07-17,Prince2 Foundation,Project Management,6,61626,2025-08-10,Pending
B00230,C0026,2025-07-01,Internal Control Systems,Compliance & Quality,6,50742,2025-07-15,Paid
B00231,C0026,2025-09-09,Change Management,Leadership & Management,9,77787,2025-09-28,Paid
B00232,C0027,2023-08-07,PMP Certification Prep,Project Management,11,80377,2023-08-09,Paid
B00233,C0027,2023-08-30,Digital Transformation,AI & Technology,18,196848,2023-09-13,Paid
B00234,C0027,2023-09-23,Strategic Leadership,Leadership & Management,25,174650,2023-10-13,Paid
B00235,C0027,2023-10-30,Critical Thinking,Personal Development,10,26800,2023-11-20,Overdue
B00236,C0027,2023-12-13,Finance for Non-Finance,Finance & Accounting,14,109480,2024-01-10,Overdue
B00237,C0027,2024-01-15,Digital Transformation,AI & Technology,10,91130,2024-02-06,Overdue
B00238,C0027,2024-02-10,Digital Marketing,Sales & Marketing,23,130065,2024-03-08,Pending
B00239,C0027,2024-03-20,Generative AI Essentials,AI & Technology,17,94299,2024-04-01,Paid
B00240,C0027,2024-04-29,Business Writing,Administration,25,84900,2024-05-17,Paid
B00241,C0027,2024-05-22,Generative AI Essentials,AI & Technology,21,164766,2024-06-12,Overdue
B00242,C0027,2024-07-10,Email Writing Mastery,Communication Skills,11,56925,2024-08-09,Pending
B00243,C0027,2024-08-13,Negotiation Skills,Communication Skills,20,65080,2024-09-08,Overdue
B00244,C0027,2024-09-24,Leadership Team Offsite,Team Building,19,107445,2024-09-30,Paid
B00245,C0027,2024-10-22,HR Management Essentials,Human Resources,11,93137,2024-11-03,Paid
B00246,C0028,2023-09-24,Critical Thinking,Personal Development,9,33984,2023-09-28,Paid
B00247,C0028,2023-11-19,Team Management Essentials,Leadership & Management,5,36035,2023-12-12,Pending
B00248,C0028,2024-01-30,Strategic Marketing,Sales & Marketing,8,42064,2024-02-24,Overdue
B00249,C0028,2024-03-17,Strategic Marketing,Sales & Marketing,10,76090,2024-04-12,Overdue
B00250,C0028,2024-05-20,Strategic Leadership,Leadership & Management,2,19558,2024-05-21,Paid
B00251,C0028,2024-07-25,Business Communication,Communication Skills,2,10320,2024-07-28,Paid
B00252,C0028,2024-09-18,Performance Appraisal,Human Resources,10,66950,2024-10-18,Pending
B00253,C0028,2024-11-16,Virtual Team Building,Team Building,5,38940,2024-11-18,Paid
B00254,C0028,2025-01-01,Team Management Essentials,Leadership & Management,4,44020,2025-01-21,Paid
B00255,C0029,2024-10-02,Leadership Excellence Program,Leadership & Management,20,125940,2024-10-30,Overdue
B00256,C0029,2024-11-27,Internal Control Systems,Compliance & Quality,18,164268,2024-12-16,Paid
B00257,C0029,2025-01-28,Prince2 Foundation,Project Management,33,239052,2025-02-23,Pending
B00258,C0029,2025-04-15,Agile & Scrum Fundamentals,Project Management,30,328260,2025-05-10,Pending
B00259,C0029,2025-06-29,Change Management,Leadership & Management,21,187257,2025-07-09,Paid
B00260,C0030,2024-04-02,Leadership Team Offsite,Team Building,2,12858,2024-04-07,Paid
B00261,C0030,2024-05-23,Business Communication,Communication Skills,3,11982,2024-05-31,Paid
B00262,C0030,2024-07-06,Risk Management,Project Management,8,75008,2024-07-28,Overdue
B00263,C0030,2024-09-06,Data Literacy for Leaders,AI & Technology,4,40372,2024-09-13,Paid
B00264,C0030,2024-11-04,Prompt Engineering for Professionals,AI & Technology,2,15184,2024-11-07,Paid
B00265,C0030,2025-01-01,ISO 9001 Quality Management,Compliance & Quality,8,66336,2025-01-01,Paid
B00266,C0030,2025-02-15,Strategic Marketing,Sales & Marketing,3,15078,2025-02-15,Paid
B00267,C0030,2025-04-07,HR Management Essentials,Human Resources,3,26682,2025-04-27,Paid
B00268,C0030,2025-06-13,Prompt Engineering for Professionals,AI & Technology,6,59454,2025-07-05,Overdue
B00269,C0030,2025-08-23,Business Writing,Administration,4,17376,2025-08-27,Paid
B00270,C0030,2025-10-28,Critical Thinking,Personal Development,6,30852,2025-11-11,Paid
B00271,C0031,2022-11-05,Internal Control Systems,Compliance & Quality,19,159049,2022-11-18,Paid
B00272,C0031,2023-01-03,Leadership Excellence Program,Leadership & Management,17,123862,2023-01-06,Paid
B00273,C0031,2023-03-06,AI for Business Leaders,AI & Technology,13,127842,2023-03-17,Paid
B00274,C0031,2023-04-16,Leadership Team Offsite,Team Building,17,85255,2023-05-10,Pending
B00275,C0031,2023-06-14,Finance for Non-Finance,Finance & Accounting,11,75603,2023-06-17,Paid
B00276,C0031,2023-07-29,ISO 9001 Quality Management,Compliance & Quality,14,129542,2023-08-13,Paid
B00277,C0031,2023-09-29,HR Management Essentials,Human Resources,15,111480,2023-10-28,Pending
B00278,C0031,2023-11-23,Executive Leadership,Leadership & Management,21,166614,2023-11-29,Paid
B00279,C0031,2024-01-21,Complaint Handling,Customer Service,18,66834,2024-02-09,Paid
B00280,C0031,2024-03-31,Risk & Compliance,Compliance & Quality,24,150000,2024-04-03,Paid
B00281,C0031,2024-05-12,Virtual Team Building,Team Building,11,72809,2024-05-29,Paid
B00282,C0031,2024-07-11,HR Management Essentials,Human Resources,15,117510,2024-07-11,Paid
B00283,C0032,2024-07-16,Internal Audit,Finance & Accounting,17,106947,2024-07-26,Paid
B00284,C0032,2024-08-18,Employee Relations,Human Resources,13,77025,2024-09-10,Overdue
B00285,C0032,2024-10-16,Talent Acquisition,Human Resources,22,180466,2024-10-23,Paid
B00286,C0032,2024-11-23,Change Management,Leadership & Management,25,250600,2024-12-08,Paid
B00287,C0032,2025-01-16,Executive Leadership,Leadership & Management,23,160034,2025-01-22,Paid
B00288,C0032,2025-03-02,Emotional Intelligence,Personal Development,24,76056,2025-03-14,Paid
B00289,C0032,2025-04-20,Negotiation Skills,Communication Skills,14,63938,2025-05-13,Pending
B00290,C0032,2025-06-08,Critical Thinking,Personal Development,21,73248,2025-06-14,Paid
B00291,C0032,2025-07-19,Business Communication,Communication Skills,14,43204,2025-08-10,Pending
B00292,C0032,2025-09-01,Finance for Non-Finance,Finance & Accounting,14,88172,2025-09-28,Overdue
B00293,C0032,2025-10-08,Sales Fundamentals,Sales & Marketing,23,111435,2025-11-01,Overdue
B00294,C0032,2025-12-01,Employee Relations,Human Resources,19,136819,2025-12-06,Paid
B00295,C0033,2023-06-22,Digital Marketing,Sales & Marketing,9,55287,2023-06-22,Paid
B00296,C0033,2023-08-31,Team Building Workshop,Team Building,8,56120,2023-09-27,Pending
